combination,accuracy
"('Month', 'Weekday', 'Year')","[0.5785591721334952, 0.009371497484609097]"
"('Month', 'Weekday', 'Year', 'img_count')","[0.5772248399906368, 0.010831182420516828]"
"('Month', 'Weekday', 'Year', 'Hour')","[0.5751778241830324, 0.008635022903270218]"
"('Month', 'Weekday', 'Year', 'Day')","[0.5739019084692106, 0.006921653312376364]"
"('Month', 'Weekday', 'Hour')","[0.5738592930959193, 0.009036417909519763]"
"('Month', 'Weekday', 'img_count')","[0.5730532901857777, 0.008377213056499749]"
"('Month', 'Weekday')","[0.5724646440512201, 0.009595748581533227]"
"('Month', 'Weekday', 'Day')","[0.5721092832520615, 0.006533695715982539]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count')","[0.5717476058353161, 0.00924581282469175]"
"('Month', 'Weekday', 'Hour', 'img_count')","[0.5708181066016825, 0.008619794777295067]"
"('Month', 'Weekday', 'Day', 'img_count')","[0.5685646561938292, 0.003616371795918459]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count')","[0.5682082996208757, 0.004104800116913078]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour')","[0.5681255826851348, 0.0046789286290895874]"
"('Month', 'Weekday', 'Day', 'Hour')","[0.5680636772787684, 0.004205765842417462]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count')","[0.5616338587670726, 0.003348415151228015]"
"('Month', 'Weekday', 'Day', 'Hour', 'img_count')","[0.5614333052941332, 0.0032287881099511157]"
"('Month', 'Year')","[0.5579623494803554, 0.005548729025731075]"
"('Month', 'Year', 'Day')","[0.5577581298034706, 0.007713705526864802]"
"('Month', 'Year', 'Hour')","[0.5567765308429223, 0.0069819634414319855]"
"('Month', 'Year', 'img_count')","[0.5559635351872545, 0.009045799269390338]"
"('Month', 'Day')","[0.5559485887171995, 0.009142493434530264]"
"('Weekday', 'Year', 'Hour', 'img_count')","[0.5556317749620424, 0.0062645440047305895]"
"('Month', 'Year', 'Day', 'img_count')","[0.5544780741679041, 0.0031000336863598477]"
"('Weekday', 'Day')","[0.5532901210848322, 0.0019696335597003635]"
"('Weekday', 'Year', 'Hour')","[0.5531680129391338, 0.009328666785005574]"
"('Month', 'Day', 'img_count')","[0.55270930290019, 0.0034862718866077425]"
"('Weekday', 'Year', 'img_count')","[0.5522158129172958, 0.008817589901669816]"
"('Month', 'Year', 'Hour', 'img_count')","[0.5520598950044997, 0.004950732274297884]"
"('Weekday', 'Year', 'Day', 'Hour')","[0.552006718646514, 0.004654485393720989]"
"('Weekday', 'Hour')","[0.5518631454764529, 0.007116353105921914]"
"('Month', 'Year', 'Day', 'Hour')","[0.5517991831227074, 0.0037985093097759595]"
"('Weekday', 'Day', 'Hour')","[0.5517280131199259, 0.0034369446142470277]"
"('Month', 'Day', 'Hour')","[0.5511270879751935, 0.0044406880464142795]"
"('Weekday', 'Year', 'Day', 'img_count')","[0.5507926523593725, 0.00422727033987241]"
"('Weekday', 'Hour', 'img_count')","[0.5506101129402369, 0.00605418582702128]"
"('Weekday', 'Day', 'img_count')","[0.5501876527749259, 0.005335915349317725]"
"('Weekday', 'img_count')","[0.5501520138762219, 0.005542866052759557]"
"('Month', 'Hour', 'img_count')","[0.5494547362891751, 0.004779327852395062]"
"('Month',)","[0.5493334027768427, 0.006219035633053633]"
"('Month', 'img_count')","[0.5491296849616228, 0.0068886666577961985]"
"('Month', 'Hour')","[0.5486761442473445, 0.005879804505442249]"
"('Weekday',)","[0.5483637440367733, 0.005544351712735753]"
"('Month', 'Year', 'Day', 'Hour', 'img_count')","[0.5475269413283361, 0.0033756051047402853]"
"('Month', 'Day', 'Hour', 'img_count')","[0.5473135692267177, 0.0030743769193023953]"
"('Weekday', 'Year', 'Day')","[0.5468594436413288, 0.003204998596650849]"
"('Weekday', 'Year')","[0.5459741120227194, 0.005885106320798565]"
"('Weekday', 'Year', 'Day', 'Hour', 'img_count')","[0.545070292978137, 0.004992752417425802]"
"('Weekday', 'Day', 'Hour', 'img_count')","[0.5446300387652016, 0.0033465011547297863]"
"('Year', 'Hour', 'img_count')","[0.5202426596270884, 0.005060617669894658]"
"('Year', 'img_count')","[0.518538966516721, 0.006142432626972499]"
"('Year', 'Day', 'img_count')","[0.5174445421444045, 0.005382085009490915]"
"('Day', 'Hour')","[0.5154811288083558, 0.0048246632734560806]"
"('Year', 'Day', 'Hour')","[0.5153987198192236, 0.005129055830775913]"
"('Year', 'Day', 'Hour', 'img_count')","[0.5147086234720702, 0.002953931465655542]"
"('Day', 'Hour', 'img_count')","[0.5143673608336263, 0.004543201053710239]"
"('Year', 'Day')","[0.5137734419181796, 0.004533744426232413]"
"('Day', 'img_count')","[0.5134832035659445, 0.0025662912528426293]"
"('img_count',)","[0.5102266228170518, 0.008004443161832943]"
"('Day',)","[0.5097822832340188, 0.005370226126020705]"
"('Hour', 'img_count')","[0.5094829016971005, 0.0030393489626942007]"
"('Year', 'Hour')","[0.5059380996339161, 0.004123261570564941]"
"('Hour',)","[0.5035879987785948, 0.0076058567512468185]"
"('Year',)","[0.49720245681392683, 0.008578099635631796]"
