combination,accuracy
"('Month', 'Weekday', 'Year')","[0.5779060522578748, 0.009291061417013476]"
"('Month', 'Weekday')","[0.5716503410567151, 0.008600405970268515]"
"('Month', 'Weekday', 'Day')","[0.5660848345521462, 0.006017923939957488]"
"('Month', 'Weekday', 'Year', 'Day')","[0.5660839735622696, 0.006044247258337165]"
"('Month', 'Year', 'Day')","[0.5660078682407255, 0.005982523449821529]"
"('Month', 'Year')","[0.5594081372891573, 0.0059738248694401605]"
"('Month', 'Year', 'channel')","[0.5559782474627081, 0.004861609322699736]"
"('Month', 'Day')","[0.5556876954751139, 0.0056162038939475654]"
"('Weekday', 'Day')","[0.5556464821570445, 0.004293958625230659]"
"('Weekday', 'Year', 'Day')","[0.5551041098800021, 0.003665843236275541]"
"('Month', 'Weekday', 'channel')","[0.5531557138997412, 0.009352109630764405]"
"('Weekday', 'channel')","[0.5527884812318791, 0.007192022981420839]"
"('Month', 'Weekday', 'Year', 'Hour', 'content_len', 'channel')","[0.5523352157207995, 0.005677476909871043]"
"('Weekday', 'Year', 'channel')","[0.5513706642206306, 0.0059516348188545605]"
"('Month', 'Weekday', 'Hour', 'img_count', 'content_len', 'author')","[0.5512311179157985, 0.0030391272424317287]"
"('Month', 'Weekday', 'Day', 'content_len', 'author')","[0.5509704152851193, 0.007599516860134058]"
"('Weekday',)","[0.5504898419499519, 0.007572306779298213]"
"('Month',)","[0.550238795779439, 0.00511227809435213]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count', 'content_len')","[0.5502110050159269, 0.002952193406554358]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count', 'channel')","[0.5494432995114024, 0.004362324538932452]"
"('Month', 'Weekday', 'Year', 'img_count', 'content_len', 'author')","[0.5492935066504163, 0.008683081888168022]"
"('Month', 'Weekday', 'title_word_count')","[0.5489527914212623, 0.004888244827357912]"
"('Month', 'channel')","[0.548861952466025, 0.005252118748023406]"
"('Weekday', 'Hour')","[0.5486950613625351, 0.006312325848292978]"
